"","x"
"MSSubClass",-0.0842841351265952
"LotFrontage",NA
"LotArea",0.263843353871406
"OverallQual",0.790981600583805
"OverallCond",-0.077855894048678
"YearBuilt",0.522897332879497
"YearRemodAdd",0.507100967111386
"MasVnrArea",NA
"BsmtFinSF1",0.386419806242153
"BsmtFinSF2",-0.0113781214502151
"BsmtUnfSF",0.214479105546969
"TotalBsmtSF",0.613580551559196
"X1stFlrSF",0.605852184691915
"X2ndFlrSF",0.319333802832068
"LowQualFinSF",-0.0256061300006795
"GrLivArea",0.708624477612652
"BsmtFullBath",0.227122233131494
"BsmtHalfBath",-0.016844154297359
"FullBath",0.560663762748446
"HalfBath",0.284107675594783
"BedroomAbvGr",0.16821315430074
"KitchenAbvGr",-0.135907370842141
"TotRmsAbvGrd",0.533723155582028
"Fireplaces",0.466928836751528
"GarageYrBlt",NA
"GarageCars",0.640409197258352
"GarageArea",0.623431438918362
"WoodDeckSF",0.32441344456813
"OpenPorchSF",0.315856227116055
"EnclosedPorch",-0.128577957925957
"X3SsnPorch",0.0445836653357484
"ScreenPorch",0.111446571142911
"PoolArea",0.0924035494918732
"MiscVal",-0.0211895796403033
"MoSold",0.0464322452238193
"YrSold",-0.0289225851687303
"SalePrice",1
